prompt,response
What is one habit you could change to improve your daily routine?,I have been learning to read and write short articles for the past few years. I have also been learning to use English as my present practice.
What is your favorite way to relax after a long day?,I prefer active rather than passive listening.
How do you usually decide what to eat for your next meal?,"Well, I tend to eat a balance meal. I usually only have 2 salads per day."
What do you do when you feel unmotivated or stuck?,I find it dimly. I just can't focus on anything important.
"How often do you set aside time for yourself, and what do you usually do?",I usually do 2 - 3 times a year. I don't have a big time for special projects. I like to do all my own thing.
"What’s the last new skill or hobby you tried, and how did it go?",I don ’ t know really. I only started it every few months.
How do you prioritize tasks when your to-do list feels overwhelming?,I prefer to do certain things first before I do anything later.
"What’s one item in your house you couldn’t live without, and why?",I couldn ’ t! I was stuck between 15th and 16th floors in my apartment.
How do you typically connect with friends or family during a busy week?,"I use the Internet, make calls, and send short messages to my friends. I pay close attention to what I am using as a tapestry to find the right person. In the long run, I use the Internet for all my daily life."
What’s one small act of kindness you experienced or performed recently?,I took a baby cat yesterday. I have no idea what I did.
What’s the first thing you do when you wake up in the morning?,"I look at myself in the mirror. Sometimes, it ’ s not a pleasant sight, especially if I have been out late the late before."
How do you choose what to wear each day?,"Well, I like to wear what I can afford."
What’s something you always carry with you when you leave the house?,I carry a bottle of wine.
How do you usually spend your weekends?,I usually go to a movie theater with my family.
What’s your favorite thing to do before going to bed?,"I go to bed very late. I get up at dawn, but I don ’ t like to go to sleep."
What do you usually do when you feel bored?,"When I finish something, I usually finish it. When I finish something, I usually make a move on it."
How do you keep track of important dates or appointments?,"I go to certain dates and parties. In addition to the official dinner reservation, I also reserve a VIP room at the end of the month."
What’s your favorite way to celebrate a small success?,I love going to the rye with my family. It ’ s fun.
How do you usually deal with unexpected changes in your plans?,I can deal with them pretty well. What I usually do is move the burden off my shoulders and handle it well.
What’s something simple that makes you smile every day?,"Well, my friends and I often make a lot of friends on the Internet. It is not easy for us to find the right person to share information with."
How often do you talk to your neighbors?,We try to get them to cut the electricity off.
"What’s the last thing you bought, and why?","I bought it yesterday. I got it on sale, but I don ’ t like it now."
How do you like to spend a rainy day?,I prefer to do the things in the city.
What’s the easiest way to cheer yourself up when you’re feeling down?,"Nothing, thanks."
How do you decide whether to save or spend your money?,"Well, I save. If I don't need it, I don't have to save money.If I need money, I can save it by going to a bank."
What’s your go-to way of learning something new?,I go to the movies.
How do you like to organize your things at home?,I like to organize my house in a big way. It helps me to have time to myself.
What’s the best way to spend time with someone you care about?,"I think we can drop in at a movie set, go swimming, and have a cup of tea."
How do you keep track of the news or current events?,I go to the websites and check the newspaper headlines. I also set my favorite sports magazines in a notebook.
